"species","culmen_length_mm","culmen_depth_mm"
"Adelie Penguin (Pygoscelis adeliae)",39.1,18.7
"Adelie Penguin (Pygoscelis adeliae)",39.5,17.4
"Adelie Penguin (Pygoscelis adeliae)",40.3,18
"Adelie Penguin (Pygoscelis adeliae)",36.7,19.3
"Adelie Penguin (Pygoscelis adeliae)",39.3,20.6
"Adelie Penguin (Pygoscelis adeliae)",38.9,17.8
"Adelie Penguin (Pygoscelis adeliae)",39.2,19.6
"Adelie Penguin (Pygoscelis adeliae)",34.1,18.1
"Adelie Penguin (Pygoscelis adeliae)",42,20.2
"Adelie Penguin (Pygoscelis adeliae)",37.8,17.1
"Adelie Penguin (Pygoscelis adeliae)",37.8,17.3
"Adelie Penguin (Pygoscelis adeliae)",41.1,17.6
"Adelie Penguin (Pygoscelis adeliae)",38.6,21.2
"Adelie Penguin (Pygoscelis adeliae)",34.6,21.1
"Adelie Penguin (Pygoscelis adeliae)",36.6,17.8
"Adelie Penguin (Pygoscelis adeliae)",38.7,19
"Adelie Penguin (Pygoscelis adeliae)",42.5,20.7
"Adelie Penguin (Pygoscelis adeliae)",34.4,18.4
"Adelie Penguin (Pygoscelis adeliae)",46,21.5
"Adelie Penguin (Pygoscelis adeliae)",37.8,18.3
"Adelie Penguin (Pygoscelis adeliae)",37.7,18.7
"Adelie Penguin (Pygoscelis adeliae)",35.9,19.2
"Adelie Penguin (Pygoscelis adeliae)",38.2,18.1
"Adelie Penguin (Pygoscelis adeliae)",38.8,17.2
"Adelie Penguin (Pygoscelis adeliae)",35.3,18.9
"Adelie Penguin (Pygoscelis adeliae)",40.6,18.6
"Adelie Penguin (Pygoscelis adeliae)",40.5,17.9
"Adelie Penguin (Pygoscelis adeliae)",37.9,18.6
"Adelie Penguin (Pygoscelis adeliae)",40.5,18.9
"Adelie Penguin (Pygoscelis adeliae)",39.5,16.7
"Adelie Penguin (Pygoscelis adeliae)",37.2,18.1
"Adelie Penguin (Pygoscelis adeliae)",39.5,17.8
"Adelie Penguin (Pygoscelis adeliae)",40.9,18.9
"Adelie Penguin (Pygoscelis adeliae)",36.4,17
"Adelie Penguin (Pygoscelis adeliae)",39.2,21.1
"Adelie Penguin (Pygoscelis adeliae)",38.8,20
"Adelie Penguin (Pygoscelis adeliae)",42.2,18.5
"Adelie Penguin (Pygoscelis adeliae)",37.6,19.3
"Adelie Penguin (Pygoscelis adeliae)",39.8,19.1
