"species","culmen_length_mm","culmen_depth_mm"
"Chinstrap penguin (Pygoscelis antarctica)",46.5,17.9
"Chinstrap penguin (Pygoscelis antarctica)",50,19.5
"Chinstrap penguin (Pygoscelis antarctica)",51.3,19.2
"Chinstrap penguin (Pygoscelis antarctica)",45.4,18.7
"Chinstrap penguin (Pygoscelis antarctica)",52.7,19.8
"Chinstrap penguin (Pygoscelis antarctica)",45.2,17.8
"Chinstrap penguin (Pygoscelis antarctica)",46.1,18.2
"Chinstrap penguin (Pygoscelis antarctica)",51.3,18.2
"Chinstrap penguin (Pygoscelis antarctica)",46,18.9
"Chinstrap penguin (Pygoscelis antarctica)",51.3,19.9
"Chinstrap penguin (Pygoscelis antarctica)",46.6,17.8
"Chinstrap penguin (Pygoscelis antarctica)",51.7,20.3
"Chinstrap penguin (Pygoscelis antarctica)",47,17.3
"Chinstrap penguin (Pygoscelis antarctica)",52,18.1
"Chinstrap penguin (Pygoscelis antarctica)",45.9,17.1
"Chinstrap penguin (Pygoscelis antarctica)",50.5,19.6
"Chinstrap penguin (Pygoscelis antarctica)",50.3,20
"Chinstrap penguin (Pygoscelis antarctica)",58,17.8
"Chinstrap penguin (Pygoscelis antarctica)",46.4,18.6
"Chinstrap penguin (Pygoscelis antarctica)",49.2,18.2
"Chinstrap penguin (Pygoscelis antarctica)",42.4,17.3
"Chinstrap penguin (Pygoscelis antarctica)",48.5,17.5
"Chinstrap penguin (Pygoscelis antarctica)",43.2,16.6
"Chinstrap penguin (Pygoscelis antarctica)",50.6,19.4
"Chinstrap penguin (Pygoscelis antarctica)",46.7,17.9
"Chinstrap penguin (Pygoscelis antarctica)",52,19
"Chinstrap penguin (Pygoscelis antarctica)",50.5,18.4
"Chinstrap penguin (Pygoscelis antarctica)",49.5,19
"Chinstrap penguin (Pygoscelis antarctica)",46.4,17.8
"Chinstrap penguin (Pygoscelis antarctica)",52.8,20
"Chinstrap penguin (Pygoscelis antarctica)",40.9,16.6
"Chinstrap penguin (Pygoscelis antarctica)",54.2,20.8
"Chinstrap penguin (Pygoscelis antarctica)",42.5,16.7
"Chinstrap penguin (Pygoscelis antarctica)",51,18.8
"Chinstrap penguin (Pygoscelis antarctica)",49.7,18.6
"Chinstrap penguin (Pygoscelis antarctica)",47.5,16.8
"Chinstrap penguin (Pygoscelis antarctica)",47.6,18.3
"Chinstrap penguin (Pygoscelis antarctica)",52,20.7
"Chinstrap penguin (Pygoscelis antarctica)",46.9,16.6
"Chinstrap penguin (Pygoscelis antarctica)",53.5,19.9
"Chinstrap penguin (Pygoscelis antarctica)",49,19.5
"Chinstrap penguin (Pygoscelis antarctica)",46.2,17.5
"Chinstrap penguin (Pygoscelis antarctica)",50.9,19.1
"Chinstrap penguin (Pygoscelis antarctica)",45.5,17
"Chinstrap penguin (Pygoscelis antarctica)",50.9,17.9
"Chinstrap penguin (Pygoscelis antarctica)",50.8,18.5
"Chinstrap penguin (Pygoscelis antarctica)",50.1,17.9
"Chinstrap penguin (Pygoscelis antarctica)",49,19.6
"Chinstrap penguin (Pygoscelis antarctica)",51.5,18.7
"Chinstrap penguin (Pygoscelis antarctica)",49.8,17.3
"Chinstrap penguin (Pygoscelis antarctica)",48.1,16.4
"Chinstrap penguin (Pygoscelis antarctica)",51.4,19
"Chinstrap penguin (Pygoscelis antarctica)",45.7,17.3
"Chinstrap penguin (Pygoscelis antarctica)",50.7,19.7
"Chinstrap penguin (Pygoscelis antarctica)",42.5,17.3
"Chinstrap penguin (Pygoscelis antarctica)",52.2,18.8
"Chinstrap penguin (Pygoscelis antarctica)",45.2,16.6
"Chinstrap penguin (Pygoscelis antarctica)",49.3,19.9
"Chinstrap penguin (Pygoscelis antarctica)",50.2,18.8
"Chinstrap penguin (Pygoscelis antarctica)",45.6,19.4
"Chinstrap penguin (Pygoscelis antarctica)",51.9,19.5
"Chinstrap penguin (Pygoscelis antarctica)",46.8,16.5
"Chinstrap penguin (Pygoscelis antarctica)",45.7,17
"Chinstrap penguin (Pygoscelis antarctica)",55.8,19.8
"Chinstrap penguin (Pygoscelis antarctica)",43.5,18.1
"Chinstrap penguin (Pygoscelis antarctica)",49.6,18.2
"Chinstrap penguin (Pygoscelis antarctica)",50.8,19
"Chinstrap penguin (Pygoscelis antarctica)",50.2,18.7
