"species","culmen_length_mm","culmen_depth_mm"
"Gentoo penguin (Pygoscelis papua)",46.1,13.2
"Gentoo penguin (Pygoscelis papua)",50,16.3
"Gentoo penguin (Pygoscelis papua)",48.7,14.1
"Gentoo penguin (Pygoscelis papua)",50,15.2
"Gentoo penguin (Pygoscelis papua)",47.6,14.5
"Gentoo penguin (Pygoscelis papua)",46.5,13.5
"Gentoo penguin (Pygoscelis papua)",45.4,14.6
"Gentoo penguin (Pygoscelis papua)",46.7,15.3
"Gentoo penguin (Pygoscelis papua)",43.3,13.4
"Gentoo penguin (Pygoscelis papua)",46.8,15.4
"Gentoo penguin (Pygoscelis papua)",40.9,13.7
"Gentoo penguin (Pygoscelis papua)",49,16.1
"Gentoo penguin (Pygoscelis papua)",45.5,13.7
"Gentoo penguin (Pygoscelis papua)",48.4,14.6
"Gentoo penguin (Pygoscelis papua)",45.8,14.6
"Gentoo penguin (Pygoscelis papua)",49.3,15.7
"Gentoo penguin (Pygoscelis papua)",42,13.5
"Gentoo penguin (Pygoscelis papua)",49.2,15.2
"Gentoo penguin (Pygoscelis papua)",46.2,14.5
"Gentoo penguin (Pygoscelis papua)",48.7,15.1
"Gentoo penguin (Pygoscelis papua)",50.2,14.3
"Gentoo penguin (Pygoscelis papua)",45.1,14.5
"Gentoo penguin (Pygoscelis papua)",46.5,14.5
"Gentoo penguin (Pygoscelis papua)",46.3,15.8
"Gentoo penguin (Pygoscelis papua)",42.9,13.1
"Gentoo penguin (Pygoscelis papua)",46.1,15.1
"Gentoo penguin (Pygoscelis papua)",44.5,14.3
"Gentoo penguin (Pygoscelis papua)",47.8,15
"Gentoo penguin (Pygoscelis papua)",48.2,14.3
"Gentoo penguin (Pygoscelis papua)",50,15.3
"Gentoo penguin (Pygoscelis papua)",47.3,15.3
"Gentoo penguin (Pygoscelis papua)",42.8,14.2
"Gentoo penguin (Pygoscelis papua)",45.1,14.5
"Gentoo penguin (Pygoscelis papua)",59.6,17
"Gentoo penguin (Pygoscelis papua)",49.1,14.8
"Gentoo penguin (Pygoscelis papua)",48.4,16.3
"Gentoo penguin (Pygoscelis papua)",42.6,13.7
"Gentoo penguin (Pygoscelis papua)",44.4,17.3
"Gentoo penguin (Pygoscelis papua)",44,13.6
"Gentoo penguin (Pygoscelis papua)",48.7,15.7
"Gentoo penguin (Pygoscelis papua)",42.7,13.7
"Gentoo penguin (Pygoscelis papua)",49.6,16
"Gentoo penguin (Pygoscelis papua)",45.3,13.7
"Gentoo penguin (Pygoscelis papua)",49.6,15
"Gentoo penguin (Pygoscelis papua)",50.5,15.9
"Gentoo penguin (Pygoscelis papua)",43.6,13.9
"Gentoo penguin (Pygoscelis papua)",45.5,13.9
"Gentoo penguin (Pygoscelis papua)",50.5,15.9
"Gentoo penguin (Pygoscelis papua)",44.9,13.3
"Gentoo penguin (Pygoscelis papua)",45.2,15.8
"Gentoo penguin (Pygoscelis papua)",46.6,14.2
"Gentoo penguin (Pygoscelis papua)",48.5,14.1
"Gentoo penguin (Pygoscelis papua)",45.1,14.4
"Gentoo penguin (Pygoscelis papua)",50.1,15
"Gentoo penguin (Pygoscelis papua)",46.5,14.4
"Gentoo penguin (Pygoscelis papua)",45,15.4
"Gentoo penguin (Pygoscelis papua)",43.8,13.9
"Gentoo penguin (Pygoscelis papua)",45.5,15
"Gentoo penguin (Pygoscelis papua)",43.2,14.5
"Gentoo penguin (Pygoscelis papua)",50.4,15.3
"Gentoo penguin (Pygoscelis papua)",45.3,13.8
"Gentoo penguin (Pygoscelis papua)",46.2,14.9
"Gentoo penguin (Pygoscelis papua)",45.7,13.9
"Gentoo penguin (Pygoscelis papua)",54.3,15.7
"Gentoo penguin (Pygoscelis papua)",45.8,14.2
"Gentoo penguin (Pygoscelis papua)",49.8,16.8
"Gentoo penguin (Pygoscelis papua)",46.2,14.4
"Gentoo penguin (Pygoscelis papua)",49.5,16.2
"Gentoo penguin (Pygoscelis papua)",43.5,14.2
"Gentoo penguin (Pygoscelis papua)",50.7,15
"Gentoo penguin (Pygoscelis papua)",47.7,15
"Gentoo penguin (Pygoscelis papua)",46.4,15.6
"Gentoo penguin (Pygoscelis papua)",48.2,15.6
"Gentoo penguin (Pygoscelis papua)",46.5,14.8
"Gentoo penguin (Pygoscelis papua)",46.4,15
"Gentoo penguin (Pygoscelis papua)",48.6,16
"Gentoo penguin (Pygoscelis papua)",47.5,14.2
"Gentoo penguin (Pygoscelis papua)",51.1,16.3
"Gentoo penguin (Pygoscelis papua)",45.2,13.8
"Gentoo penguin (Pygoscelis papua)",45.2,16.4
"Gentoo penguin (Pygoscelis papua)",49.1,14.5
"Gentoo penguin (Pygoscelis papua)",52.5,15.6
"Gentoo penguin (Pygoscelis papua)",47.4,14.6
"Gentoo penguin (Pygoscelis papua)",50,15.9
"Gentoo penguin (Pygoscelis papua)",44.9,13.8
"Gentoo penguin (Pygoscelis papua)",50.8,17.3
"Gentoo penguin (Pygoscelis papua)",43.4,14.4
"Gentoo penguin (Pygoscelis papua)",51.3,14.2
"Gentoo penguin (Pygoscelis papua)",47.5,14
"Gentoo penguin (Pygoscelis papua)",52.1,17
"Gentoo penguin (Pygoscelis papua)",47.5,15
